HRA/DEPARTMENT OF SOCIAL S,31118,$60K,Above 50K
N.Y.C. TRANSIT AUTHORITY,609,$60K,Above 50K
DEPARTMENT OF ENVIRONMENTA,31305,$50K,Below 50K
DEPARTMENT OF EDUCATION,51222,$60K,Above 50K
CUNY BRONX COMMUNITY COLLE,4841,$00K,Below 50K
N.Y.C. TRANSIT AUTHORITY,609,$60K,Above 50K
N.Y.C. TRANSIT AUTHORITY,808,$100K,Above 50K
DISTRICT ATTORNEY-QUEENS C,30831,$50K,Below 50K
DEPARTMENT OF SANITATION,70150,$70K,Above 50K
POLICE DEPARTMENT,91717,$00K,Below 50K
POLICE DEPARTMENT,70210,$70K,Above 50K
N.Y.C. HOUSING AUTHORITY,91722,$00K,Below 50K
FIRE DEPARTMENT,53055,$60K,Above 50K
POLICE DEPARTMENT,71652,$40K,Below 50K
DEPARTMENT OF PARKS & RECR,81111,$60K,Above 50K
DEPARTMENT OF ENVIRONMENTA,90739,$00K,Below 50K
N.Y.C. TRANSIT AUTHORITY,734,$70K,Above 50K
HRA/DEPARTMENT OF SOCIAL S,10104,$30K,Below 50K
N.Y.C. TRANSIT AUTHORITY,298,$30K,Below 50K
DEPARTMENT OF EDUCATION,51222,$60K,Above 50K
N.Y.C. TRANSIT AUTHORITY,260,$70K,Above 50K
DEPARTMENT OF BUILDINGS,6688,$40K,Below 50K
FIRE DEPARTMENT,70370,$120K,Above 50K
FIRE DEPARTMENT,70310,$70K,Above 50K
DEPARTMENT OF CITYWIDE ADM,10209,$00K,Below 50K
POLICE DEPARTMENT,70210,$40K,Below 50K
N.Y.C. TRANSIT AUTHORITY,974,$80K,Above 50K
N.Y.C. TRANSIT AUTHORITY,412,$40K,Below 50K
DEPARTMENT OF EDUCATION,31047,$50K,Below 50K
POLICE DEPARTMENT,71652,$40K,Below 50K
N.Y.C. TRANSIT AUTHORITY,754,$80K,Above 50K
POLICE DEPARTMENT,60817,$30K,Below 50K
POLICE DEPARTMENT,70210,$70K,Above 50K
POLICE DEPARTMENT,70210,$70K,Above 50K
N.Y.C. TRANSIT AUTHORITY,650,$70K,Above 50K
DEPARTMENT OF HEALTH AND M,10050,$90K,Above 50K
DEPARTMENT OF CORRECTION,91628,$00K,Below 50K
DEPARTMENT OF EDUCATION,40526,$40K,Below 50K
N.Y.C. TRANSIT AUTHORITY,606,$70K,Above 50K
POLICE DEPARTMENT,70265,$110K,Above 50K
DEPARTMENT OF BUILDINGS,10015,$100K,Above 50K
DEPARTMENT OF ENVIRONMENTA,20215,$90K,Above 50K
DEPARTMENT OF SANITATION,70196,$90K,Above 50K
DEPARTMENT OF CORRECTION,92210,$00K,Below 50K
FIRE DEPARTMENT,70365,$110K,Above 50K
DEPARTMENT OF SANITATION,70196,$110K,Above 50K
DEPARTMENT OF CORRECTION,70410,$40K,Below 50K
N.Y.C. TRANSIT AUTHORITY,573,$80K,Above 50K
DISTRICT ATTORNEY-RICHMOND,30827,$60K,Above 50K
DEPARTMENT OF EDUCATION,54503,$30K,Below 50K
DEPARTMENT OF SANITATION,70112,$60K,Above 50K
FIRE DEPARTMENT,70360,$80K,Above 50K
FIRE DEPARTMENT,70365,$100K,Above 50K
POLICE DEPARTMENT,70210,$40K,Below 50K
DISTRICT ATTORNEY-KINGS CO,30830,$50K,Below 50K
POLICE DEPARTMENT,70210,$70K,Above 50K
DEPARTMENT OF EDUCATION,51221,$60K,Above 50K
N.Y.C. HOUSING AUTHORITY,92005,$00K,Below 50K
POLICE DEPARTMENT,7021B,$90K,Above 50K
DEPARTMENT OF TRANSPORTATI,90910,$50K,Below 50K
N.Y.C. TRANSIT AUTHORITY,557,$80K,Above 50K
N.Y.C. TRANSIT AUTHORITY,650,$60K,Above 50K
N.Y.C. TRANSIT AUTHORITY,609,$60K,Above 50K
DEPARTMENT OF PARKS & RECR,81106,$40K,Below 50K
POLICE DEPARTMENT,10147,$40K,Below 50K
N.Y.C. TRANSIT AUTHORITY,412,$60K,Above 50K
N.Y.C. TRANSIT AUTHORITY,616,$50K,Below 50K
N.Y.C. HOUSING AUTHORITY,80201,$50K,Below 50K
DEPARTMENT OF EDUCATION,51221,$60K,Above 50K
N.Y.C. TRANSIT AUTHORITY,878,$70K,Above 50K
N.Y.C. HOUSING AUTHORITY,80201,$50K,Below 50K
DEPARTMENT OF FINANCE,10251,$30K,Below 50K
POLICE DEPARTMENT,70210,$40K,Below 50K
HRA/DEPARTMENT OF SOCIAL S,1002A,$80K,Above 50K
POLICE DEPARTMENT,70210,$40K,Below 50K
FIRE DEPARTMENT,70310,$70K,Above 50K
FIRE DEPARTMENT,53053,$30K,Below 50K
N.Y.C. TRANSIT AUTHORITY,650,$70K,Above 50K
DISTRICT ATTORNEY-QUEENS C,30114,$130K,Above 50K
DEPARTMENT OF HEALTH AND M,21849,$70K,Above 50K
POLICE DEPARTMENT,70235,$90K,Above 50K
CUNY QUEENSBOROUGH COMMUNI,4294,$00K,Below 50K
N.Y.C. TRANSIT AUTHORITY,389,$50K,Below 50K
DEPARTMENT OF EDUCATION,10251,$50K,Below 50K
CUNY HOSTOS COMMUNITY COLL,4689,$00K,Below 50K
FIRE DEPARTMENT,70310,$70K,Above 50K
DEPARTMENT OF ENVIRONMENTA,10251,$20K,Below 50K
DEPARTMENT OF SANITATION,70112,$60K,Above 50K
DEPARTMENT OF CORRECTION,70410,$50K,Below 50K
DEPARTMENT OF EDUCATION,10031,$90K,Above 50K
POLICE DEPARTMENT,70210,$70K,Above 50K
DEPARTMENT OF CITYWIDE ADM,10209,$00K,Below 50K
POLICE DEPARTMENT,70235,$90K,Above 50K
DEPARTMENT OF SANITATION,92575,$100K,Above 50K
FIRE DEPARTMENT,53055,$60K,Above 50K
FIRE DEPARTMENT,70392,$80K,Above 50K
N.Y.C. TRANSIT AUTHORITY,912,$40K,Below 50K
POLICE DEPARTMENT,70210,$40K,Below 50K
CUNY LAGUARDIA COMMUNITY C,10102,$00K,Below 50K
CUNY BRONX COMMUNITY COLLE,4841,$20K,Below 50K
POLICE DEPARTMENT,70210,$40K,Below 50K
POLICE DEPARTMENT,70210,$50K,Below 50K
N.Y.C. TRANSIT AUTHORITY,609,$70K,Above 50K
CUNY KINGSBOROUGH COMMMUNI,4689,$00K,Below 50K
DEPARTMENT OF TRANSPORTATI,20113,$40K,Below 50K
DEPARTMENT OF FINANCE,30312,$70K,Above 50K
N.Y.C. TRANSIT AUTHORITY,131,$150K,Above 50K
CUNY LAGUARDIA COMMUNITY C,4017,$50K,Below 50K
DEPARTMENT OF SANITATION,70112,$30K,Below 50K
CUNY MANHATTAN COMMUNITY C,4688,$00K,Below 50K
CUNY LAGUARDIA COMMUNITY C,4017,$30K,Below 50K
DEPARTMENT OF CITYWIDE ADM,10209,$00K,Below 50K
POLICE DEPARTMENT,70210,$40K,Below 50K
HRA/DEPARTMENT OF SOCIAL S,12158,$40K,Below 50K
N.Y.C. TRANSIT AUTHORITY,107,$130K,Above 50K
N.Y.C. TRANSIT AUTHORITY,651,$60K,Above 50K
POLICE DEPARTMENT,70210,$70K,Above 50K
DEPARTMENT OF ENVIRONMENTA,21822,$70K,Above 50K
CUNY LAGUARDIA COMMUNITY C,4294,$00K,Below 50K
DEPARTMENT OF EDUCATION,51222,$00K,Below 50K
CUNY LAGUARDIA COMMUNITY C,4294,$00K,Below 50K
HRA/DEPARTMENT OF SOCIAL S,40526,$40K,Below 50K
CUNY MANHATTAN COMMUNITY C,4099,$70K,Above 50K
DEPARTMENT OF DESIGN AND C,20113,$50K,Below 50K
FIRE DEPARTMENT,70310,$70K,Above 50K
DEPARTMENT OF INFORMATION,13694,$120K,Above 50K
N.Y.C. TRANSIT AUTHORITY,609,$40K,Below 50K
DEPARTMENT OF PARKS & RECR,22427,$80K,Above 50K
DEPARTMENT FOR THE AGING,1002,$90K,Above 50K
CUNY KINGSBOROUGH COMMMUNI,4626,$00K,Below 50K
DEPARTMENT OF CITYWIDE ADM,12702,$00K,Below 50K
N.Y.C. TRANSIT AUTHORITY,252,$40K,Below 50K
CUNY LAGUARDIA COMMUNITY C,10102,$00K,Below 50K
HRA/DEPARTMENT OF SOCIAL S,52314,$40K,Below 50K
N.Y.C. TRANSIT AUTHORITY,325,$60K,Above 50K
POLICE DEPARTMENT,70235,$80K,Above 50K
DISTRICT ATTORNEY-KINGS CO,30114,$80K,Above 50K
CUNY LAGUARDIA COMMUNITY C,4008,$60K,Above 50K
DEPARTMENT OF EDUCATION,31047,$60K,Above 50K
DEPARTMENT OF CITYWIDE ADM,40510,$60K,Above 50K
N.Y.C. TRANSIT AUTHORITY,609,$60K,Above 50K
N.Y.C. HOUSING AUTHORITY,90645,$20K,Below 50K
HRA/DEPARTMENT OF SOCIAL S,80184,$60K,Above 50K
POLICE DEPARTMENT,70210,$40K,Below 50K
DEPARTMENT OF TRANSPORTATI,91510,$70K,Above 50K
POLICE DEPARTMENT,70235,$80K,Above 50K
HOUSING PRESERVATION & DEV,80112,$50K,Below 50K
DEPARTMENT OF ENVIRONMENTA,22122,$60K,Above 50K
POLICE DEPARTMENT,21849,$70K,Above 50K
DEPARTMENT OF FINANCE,40523,$50K,Below 50K
POLICE DEPARTMENT,70210,$40K,Below 50K
DEPARTMENT OF CITYWIDE ADM,12702,$00K,Below 50K
DEPARTMENT OF HEALTH AND M,10209,$00K,Below 50K
TRIBOROUGH BRIDGE AND TUNN,83008,$100K,Above 50K
N.Y.C. TRANSIT AUTHORITY,109,$120K,Above 50K
CUNY HOSTOS COMMUNITY COLL,4625,$00K,Below 50K
DEPARTMENT OF EDUCATION,54483,$50K,Below 50K
FINANCIAL INFORMATION SERV,10095,$100K,Above 50K
N.Y.C. TRANSIT AUTHORITY,00T25,$70K,Above 50K
POLICE DEPARTMENT,71651,$20K,Below 50K
N.Y.C. TRANSIT AUTHORITY,821,$60K,Above 50K
HRA/DEPARTMENT OF SOCIAL S,12626,$50K,Below 50K
DEPARTMENT OF HEALTH AND M,51022,$00K,Below 50K
TRIBOROUGH BRIDGE AND TUNN,91349,$100K,Above 50K
DEPARTMENT OF CITYWIDE ADM,10050,$120K,Above 50K
N.Y.C. TRANSIT AUTHORITY,253,$60K,Above 50K
CUNY LAGUARDIA COMMUNITY C,4294,$00K,Below 50K
DEPARTMENT OF HEALTH AND M,51181,$60K,Above 50K
N.Y.C. HOUSING AUTHORITY,90710,$00K,Below 50K
DEPARTMENT OF ENVIRONMENTA,91011,$50K,Below 50K
HRA/DEPARTMENT OF SOCIAL S,10251,$30K,Below 50K
N.Y.C. HOUSING AUTHORITY,90711,$00K,Below 50K
N.Y.C. TRANSIT AUTHORITY,350,$60K,Above 50K
DEPARTMENT OF CORRECTION,70410,$40K,Below 50K
POLICE DEPARTMENT,70210,$40K,Below 50K
N.Y.C. HOUSING AUTHORITY,92235,$00K,Below 50K
N.Y.C. TRANSIT AUTHORITY,00T25,$60K,Above 50K
DEPARTMENT OF BUILDINGS,22410,$80K,Above 50K
HRA/DEPARTMENT OF SOCIAL S,13611,$50K,Below 50K
DEPARTMENT OF HEALTH AND M,83051,$40K,Below 50K
ADMINISTRATION FOR CHILDRE,52366,$50K,Below 50K
HRA/DEPARTMENT OF SOCIAL S,52304,$40K,Below 50K
POLICE DEPARTMENT,70210,$70K,Above 50K
N.Y.C. TRANSIT AUTHORITY,813,$60K,Above 50K
N.Y.C. HOUSING AUTHORITY,82011,$50K,Below 50K
N.Y.C. HOUSING AUTHORITY,80205,$60K,Above 50K
ADMINISTRATION FOR CHILDRE,52366,$50K,Below 50K
DEPARTMENT OF CORRECTION,70467,$70K,Above 50K
DEPARTMENT OF CITYWIDE ADM,12702,$00K,Below 50K
ADMINISTRATION FOR CHILDRE,52366,$40K,Below 50K
DEPARTMENT OF CITYWIDE ADM,12702,$00K,Below 50K
DEPARTMENT OF PROBATION,51810,$50K,Below 50K
DEPARTMENT OF EDUCATION,56073,$50K,Below 50K
N.Y.C. TRANSIT AUTHORITY,913,$70K,Above 50K
DEPARTMENT OF PARKS & RECR,91406,$00K,Below 50K
DEPARTMENT OF HOMELESS SER,12200,$20K,Below 50K
TRIBOROUGH BRIDGE AND TUNN,70710,$00K,Below 50K
POLICE DEPARTMENT,60817,$30K,Below 50K
N.Y.C. TRANSIT AUTHORITY,910,$60K,Above 50K
HRA/DEPARTMENT OF SOCIAL S,10124,$50K,Below 50K
HRA/DEPARTMENT OF SOCIAL S,10251,$20K,Below 50K
N.Y.C. TRANSIT AUTHORITY,813,$60K,Above 50K
POLICE DEPARTMENT,7021A,$80K,Above 50K
POLICE DEPARTMENT,70210,$70K,Above 50K
CUNY HOSTOS COMMUNITY COLL,4689,$00K,Below 50K
N.Y.C. TRANSIT AUTHORITY,813,$60K,Above 50K
N.Y.C. TRANSIT AUTHORITY,339,$50K,Below 50K
FIRE DEPARTMENT,53053,$30K,Below 50K
N.Y.C. TRANSIT AUTHORITY,813,$50K,Below 50K
POLICE DEPARTMENT,71012,$40K,Below 50K
DEPARTMENT OF CITYWIDE ADM,12702,$00K,Below 50K
N.Y.C. TRANSIT AUTHORITY,389,$50K,Below 50K
FIRE DEPARTMENT,70310,$70K,Above 50K
DEPARTMENT OF CITYWIDE ADM,12702,$00K,Below 50K
DEPARTMENT OF CITYWIDE ADM,12702,$00K,Below 50K
DEPARTMENT OF ENVIRONMENTA,10033,$110K,Above 50K
N.Y.C. TRANSIT AUTHORITY,548,$80K,Above 50K
POLICE DEPARTMENT,60817,$30K,Below 50K
DEPARTMENT OF CORRECTION,70410,$70K,Above 50K
POLICE DEPARTMENT,70210,$70K,Above 50K
DEPARTMENT OF EDUCATION,54483,$30K,Below 50K
N.Y.C. TRANSIT AUTHORITY,389,$50K,Below 50K
N.Y.C. TRANSIT AUTHORITY,912,$40K,Below 50K
N.Y.C. TRANSIT AUTHORITY,339,$40K,Below 50K
ADMINISTRATION FOR CHILDRE,52295,$40K,Below 50K
CUNY LAGUARDIA COMMUNITY C,4689,$00K,Below 50K
N.Y.C. TRANSIT AUTHORITY,395,$70K,Above 50K
N.Y.C. TRANSIT AUTHORITY,402,$20K,Below 50K
POLICE DEPARTMENT,70210,$50K,Below 50K
DEPARTMENT OF PARKS & RECR,90641,$40K,Below 50K
ADMINISTRATION FOR CHILDRE,52295,$30K,Below 50K
POLICE DEPARTMENT,70210,$70K,Above 50K
POLICE DEPARTMENT,70210,$70K,Above 50K
POLICE DEPARTMENT,70210,$40K,Below 50K
POLICE DEPARTMENT,70206,$00K,Below 50K
DEPARTMENT OF SANITATION,70112,$30K,Below 50K
HOUSING PRESERVATION & DEV,80112,$50K,Below 50K
HRA/DEPARTMENT OF SOCIAL S,52304,$40K,Below 50K
POLICE DEPARTMENT,10144,$30K,Below 50K
DEPARTMENT OF ENVIRONMENTA,13632,$110K,Above 50K
DEPARTMENT OF CORRECTION,70410,$70K,Above 50K
DEPARTMENT OF CORRECTION,70410,$70K,Above 50K
DEPARTMENT OF CITYWIDE ADM,12702,$00K,Below 50K
POLICE DEPARTMENT,70210,$70K,Above 50K
N.Y.C. TRANSIT AUTHORITY,339,$30K,Below 50K
POLICE DEPARTMENT,70210,$50K,Below 50K
HOUSING PRESERVATION & DEV,10251,$30K,Below 50K
DEPARTMENT OF SANITATION,70112,$60K,Above 50K
POLICE DEPARTMENT,70210,$70K,Above 50K
N.Y.C. HOUSING AUTHORITY,90698,$00K,Below 50K
POLICE DEPARTMENT,70235,$70K,Above 50K
POLICE DEPARTMENT,70210,$40K,Below 50K
DEPARTMENT OF EDUCATION,51222,$60K,Above 50K
N.Y.C. TRANSIT AUTHORITY,253,$40K,Below 50K
FIRE DEPARTMENT,53053,$40K,Below 50K
POLICE DEPARTMENT,60817,$30K,Below 50K
POLICE DEPARTMENT,60817,$30K,Below 50K
N.Y.C. TRANSIT AUTHORITY,878,$60K,Above 50K
DEPARTMENT OF BUILDINGS,1002A,$70K,Above 50K
N.Y.C. TRANSIT AUTHORITY,341,$70K,Above 50K
N.Y.C. TRANSIT AUTHORITY,606,$70K,Above 50K
POLICE DEPARTMENT,70210,$70K,Above 50K
DEPARTMENT OF CITYWIDE ADM,12702,$00K,Below 50K
DEPARTMENT OF EDUCATION,56057,$40K,Below 50K
CUNY LAGUARDIA COMMUNITY C,4293,$00K,Below 50K
N.Y.C. TRANSIT AUTHORITY,333,$80K,Above 50K
CUNY BRONX COMMUNITY COLLE,4024,$70K,Above 50K
DEPARTMENT OF PARKS & RECR,80633,$00K,Below 50K
N.Y.C. TRANSIT AUTHORITY,913,$70K,Above 50K
DEPARTMENT OF HEALTH AND M,10209,$00K,Below 50K
DEPARTMENT OF DESIGN AND C,20215,$80K,Above 50K
DEPARTMENT OF HOMELESS SER,40561,$50K,Below 50K
DEPARTMENT OF HEALTH AND M,5100B,$00K,Below 50K
N.Y.C. HOUSING AUTHORITY,91830,$00K,Below 50K
HRA/DEPARTMENT OF SOCIAL S,52316,$60K,Above 50K
DEPARTMENT OF CITYWIDE ADM,12702,$00K,Below 50K
DEPARTMENT OF CITYWIDE ADM,12702,$00K,Below 50K
POLICE DEPARTMENT,70235,$90K,Above 50K
DEPARTMENT OF CORRECTION,70410,$70K,Above 50K
HRA/DEPARTMENT OF SOCIAL S,10104,$30K,Below 50K
DEPARTMENT OF CORRECTION,91644,$00K,Below 50K
DEPARTMENT OF DESIGN AND C,83008,$90K,Above 50K
N.Y.C. TRANSIT AUTHORITY,389,$50K,Below 50K
DEPARTMENT OF CORRECTION,54610,$00K,Below 50K
HRA/DEPARTMENT OF SOCIAL S,52316,$50K,Below 50K
HRA/DEPARTMENT OF SOCIAL S,52304,$40K,Below 50K
DEPARTMENT OF HOMELESS SER,12627,$60K,Above 50K
HRA/DEPARTMENT OF SOCIAL S,31113,$50K,Below 50K
DEPARTMENT OF HEALTH AND M,5100B,$00K,Below 50K
DEPARTMENT OF CITYWIDE ADM,10209,$00K,Below 50K
HRA/DEPARTMENT OF SOCIAL S,10124,$40K,Below 50K
N.Y.C. TRANSIT AUTHORITY,325,$60K,Above 50K
POLICE DEPARTMENT,70210,$70K,Above 50K
DEPARTMENT OF PARKS & RECR,56057,$00K,Below 50K
N.Y.C. HOUSING AUTHORITY,10019,$90K,Above 50K
N.Y.C. TRANSIT AUTHORITY,813,$60K,Above 50K
N.Y.C. TRANSIT AUTHORITY,350,$100K,Above 50K
N.Y.C. TRANSIT AUTHORITY,253,$60K,Above 50K
N.Y.C. TRANSIT AUTHORITY,813,$60K,Above 50K
DEPARTMENT OF CITYWIDE ADM,12702,$00K,Below 50K
ADMINISTRATION FOR CHILDRE,52366,$50K,Below 50K
DEPARTMENT OF CITYWIDE ADM,12702,$00K,Below 50K
HOUSING PRESERVATION & DEV,80112,$50K,Below 50K
N.Y.C. TRANSIT AUTHORITY,412,$60K,Above 50K
DEPARTMENT OF YOUTH AND CO,40562,$60K,Above 50K
N.Y.C. TRANSIT AUTHORITY,813,$60K,Above 50K
FIRE DEPARTMENT,53054,$40K,Below 50K
HRA/DEPARTMENT OF SOCIAL S,52311,$50K,Below 50K
HRA/DEPARTMENT OF SOCIAL S,52304,$40K,Below 50K
HRA/DEPARTMENT OF SOCIAL S,52314,$40K,Below 50K
POLICE DEPARTMENT,70210,$70K,Above 50K
FIRE DEPARTMENT,70310,$30K,Below 50K
N.Y.C. TRANSIT AUTHORITY,609,$40K,Below 50K
FIRE DEPARTMENT,53055,$60K,Above 50K
N.Y.C. TRANSIT AUTHORITY,609,$60K,Above 50K
POLICE DEPARTMENT,71651,$30K,Below 50K
DEPARTMENT OF CITYWIDE ADM,10209,$00K,Below 50K
POLICE DEPARTMENT,71651,$30K,Below 50K
N.Y.C. TRANSIT AUTHORITY,609,$60K,Above 50K
N.Y.C. TRANSIT AUTHORITY,813,$60K,Above 50K
DEPARTMENT OF CITYWIDE ADM,10209,$00K,Below 50K
DEPARTMENT OF CITYWIDE ADM,12702,$00K,Below 50K
N.Y.C. TRANSIT AUTHORITY,791,$70K,Above 50K
POLICE DEPARTMENT,10144,$30K,Below 50K
POLICE DEPARTMENT,10144,$30K,Below 50K
FIRE DEPARTMENT,53053,$40K,Below 50K
HRA/DEPARTMENT OF SOCIAL S,40502,$50K,Below 50K
DEPARTMENT OF EDUCATION,56073,$60K,Above 50K
DEPARTMENT OF CORRECTION,70410,$40K,Below 50K
N.Y.C. TRANSIT AUTHORITY,412,$50K,Below 50K
DISTRICT ATTORNEY-QUEENS C,56058,$50K,Below 50K
DEPARTMENT OF SANITATION,70112,$60K,Above 50K
N.Y.C. TRANSIT AUTHORITY,316,$50K,Below 50K
N.Y.C. HOUSING AUTHORITY,10252,$30K,Below 50K
DEPARTMENT OF CORRECTION,70410,$50K,Below 50K
N.Y.C. TRANSIT AUTHORITY,818,$70K,Above 50K
DEPARTMENT OF EDUCATION,B0087,$80K,Above 50K
N.Y.C. TRANSIT AUTHORITY,412,$40K,Below 50K
POLICE DEPARTMENT,7021C,$110K,Above 50K
POLICE DEPARTMENT,71651,$30K,Below 50K
N.Y.C. TRANSIT AUTHORITY,734,$40K,Below 50K
TAXI AND LIMOUSINE COMMISS,35116,$30K,Below 50K
DEPARTMENT OF CORRECTION,70410,$40K,Below 50K
HRA/DEPARTMENT OF SOCIAL S,10104,$30K,Below 50K
POLICE DEPARTMENT,70210,$70K,Above 50K
DEPARTMENT OF CONSUMER AFF,10026,$100K,Above 50K
DEPARTMENT OF EDUCATION,54483,$50K,Below 50K
DEPARTMENT OF EDUCATION,51222,$60K,Above 50K
DEPARTMENT OF EDUCATION,51221,$60K,Above 50K
POLICE DEPARTMENT,71651,$20K,Below 50K
CUNY MANHATTAN COMMUNITY C,4802,$30K,Below 50K
POLICE DEPARTMENT,70205,$00K,Below 50K
HRA/DEPARTMENT OF SOCIAL S,10104,$30K,Below 50K
ADMINISTRATION FOR CHILDRE,12626,$60K,Above 50K
DEPARTMENT OF EDUCATION,10031,$80K,Above 50K
DEPARTMENT OF TRANSPORTATI,91529,$40K,Below 50K
POLICE DEPARTMENT,70210,$70K,Above 50K
TRIBOROUGH BRIDGE AND TUNN,70710,$60K,Above 50K
POLICE DEPARTMENT,70210,$70K,Above 50K
CUNY KINGSBOROUGH COMMMUNI,4293,$00K,Below 50K
CITY COUNCIL,94074,$50K,Below 50K
ADMINISTRATION FOR CHILDRE,52408,$70K,Above 50K
DEPARTMENT OF SANITATION,70112,$60K,Above 50K
DISTRICT ATTORNEY-NEW YORK,10026,$110K,Above 50K
HRA/DEPARTMENT OF SOCIAL S,52304,$40K,Below 50K
DEPARTMENT OF PARKS & RECR,56058,$70K,Above 50K
DEPARTMENT OF EDUCATION,10251,$40K,Below 50K
CUNY KINGSBOROUGH COMMMUNI,10102,$00K,Below 50K
ADMINISTRATION FOR CHILDRE,95600,$80K,Above 50K
DEPARTMENT OF EDUCATION,54485,$60K,Above 50K
N.Y.C. TRANSIT AUTHORITY,325,$40K,Below 50K
N.Y.C. TRANSIT AUTHORITY,325,$60K,Above 50K
DEPARTMENT OF CITYWIDE ADM,12702,$00K,Below 50K
